IDENTIFICADOR_UNICO_FICHA;MODALIDAD_FORMACION;NIVEL_FORMACION;NOMBRE_JORNADA;CODIGO_SECTOR_PROGRAMA;CODIGO_PROGRAMA;DURACION_PROGRAMA;CODIGO_MUNICIPIO_CURSO;TOTAL_APRENDICES;Menores y mayores a 15 activos
1719180;1;1;2;4;83830290;60;807;21;1
1769539;1;1;2;5;22620440;20;1;13;0
1754073;1;1;2;4;13120331;70;1;17;1
1876337;1;1;2;1;93240137;60;318;13;0
1802686;1;1;2;4;13120221;40;1;32;1
1752711;1;1;2;2;52441147;80;130;20;1
1764375;1;1;2;2;83230037;40;824;26;1
1714915;1;1;2;2;52410387;280;696;33;1
1847395;1;1;2;2;86110081;80;1;23;1
1719538;1;1;2;3;6110116;90;1;21;1
1802685;1;1;2;4;84230118;60;1;19;1
1825719;1;1;1;2;22620414;40;1;19;1
1731279;1;1;1;6;22410039;90;1;25;0
1845630;1;1;2;6;13210021;40;1;23;1
1845600;1;1;2;2;52442073;60;1;15;1
1845619;1;1;2;2;21330020;80;1;14;0
1742427;1;1;2;1;93240137;60;318;14;0
1731394;1;1;1;6;83420018;40;1;19;0
1736684;1;1;2;2;93820019;40;1;19;1
1889698;1;1;2;6;41310575;80;355;25;1
1838957;1;1;2;4;13310354;220;318;22;1
1682024;1;1;2;2;21730062;40;1;20;0
1888104;1;1;2;2;83710208;40;845;16;1
1461909;1;5;2;6;834214;1820;1;30;1
1799411;1;1;2;6;66330007;40;318;17;1
1797179;4;1;2;3;51360069;320;1;24;1
1849857;1;1;2;4;52220010;100;1;15;0
1889697;1;1;2;4;84240177;80;1;13;0
1737970;1;1;2;4;52520058;60;1;15;1
1878634;1;1;2;3;83830185;70;585;39;1
1737964;1;1;2;5;41720017;40;318;23;1
1744610;4;1;2;3;2000003;320;1;27;1
1880721;1;1;2;2;83610191;80;318;15;1
1847389;1;1;2;2;86110081;80;1;32;1
1771599;1;1;2;3;21730067;40;130;20;1
1811476;1;1;2;2;52441147;80;1;16;0
1682025;1;1;2;6;22810150;50;1;19;1
1889381;1;1;2;6;84510081;80;1;23;1
1887764;1;1;2;4;63410151;40;318;20;1
1567971;1;5;1;2;838104;1900;1;25;1
1813425;1;1;2;2;52441459;80;1;15;1
1826627;1;1;2;2;86110222;40;1;21;1
1849017;1;1;2;4;13120331;70;1;20;1
1736782;1;1;2;2;52441147;80;1;17;0
1843443;1;1;2;2;21340010;30;1;22;1
1737971;1;1;2;6;22810150;50;1;19;1
1682006;1;1;2;5;13120091;50;100;20;1
1887741;1;1;2;4;52520058;60;1;14;0
1814674;4;1;2;6;52450031;320;785;31;1
1833686;1;1;2;2;52430410;330;1;36;1
1802688;1;1;2;2;83310014;60;212;35;1
1753890;1;1;2;1;22620429;40;1;29;1
1735744;1;1;2;2;93820019;40;1;20;1
1889947;1;1;2;2;82120050;80;573;14;0
1757342;4;1;2;2;52442191;300;22;34;1
1834858;1;1;2;1;22620425;120;256;23;1
1820913;1;1;2;3;83830197;70;22;20;1
1501532;1;5;2;4;228172;1900;548;24;1
1843458;1;1;2;2;22620414;40;1;22;1
1764230;1;1;2;6;84420023;140;845;22;1
1693559;1;1;2;3;13530125;20;698;38;1
1702575;1;1;2;4;22810216;40;142;26;1
1695363;1;1;2;4;52520058;60;1;15;1
1851729;1;1;2;4;84230219;93;1;16;0
1526271;1;5;2;6;861121;1400;1;27;1
1693841;1;1;2;5;22310068;40;1;16;1
1754060;1;1;2;4;22810381;40;290;11;0
1754034;1;1;2;6;66330107;100;318;14;0
1754313;1;1;2;2;52450105;90;1;26;1
1768434;1;1;2;4;52520051;40;1;22;1
1721358;1;1;2;2;12210298;70;1;29;1
1724615;1;1;2;4;13120127;60;212;20;1
1719541;1;1;2;6;84110003;40;1;21;0
1757550;4;1;2;2;52430410;330;743;33;1
1873000;1;1;2;2;11220053;70;1;13;0
1758661;1;1;2;4;22520077;40;318;15;0
1739258;1;1;2;4;13120331;70;698;30;1
